y_true,y_pred
3897.0,5642.572198289265
7662.0,7380.452292976485
13882.0,13923.373721992206
6218.0,6232.422972687051
13302.0,13888.826705993271
3873.0,3894.7886653092855
11087.0,11039.322283365636
22270.0,23876.608439602856
11087.0,10634.798831345317
8625.0,7993.8972060359565
8907.0,9160.001448329422
4174.0,4360.586931630876
4667.0,4627.519762817304
9663.0,9747.599795649545
4804.0,4681.0549147278025
14011.0,13914.46502402299
5830.0,5340.032063441847
10262.0,10300.466173552886
13381.0,13273.338834723787
12898.0,12716.915583244865
19495.0,14323.669082551156
6955.0,6758.695516836801
3943.0,3984.7931320083007
4823.0,4740.56971515832
7757.0,8915.666698126139
13292.0,13645.279469698906
8238.0,6502.5974711326335
7682.0,6316.45621724851
4668.0,4727.522039591126
3687.0,3767.107184936001
3687.0,3696.891997204301
13227.0,14218.465005573435
4423.0,4028.6035188419432
10919.0,10772.662980503734
12373.0,13164.180658926218
5894.0,5851.970853666053
4649.0,4896.065771116421
6245.0,5810.001283431788
19225.0,19327.842688833105
14924.0,16035.410823017524
9646.0,9030.372980001013
8714.0,9046.964806558804
12373.0,12417.387313745805
3383.0,3639.2071860157903
13062.0,9218.728543597032
3527.0,4195.977875550698
3943.0,3930.1644493328395
4667.0,4904.654593808576
6117.0,6152.395689436155
11150.0,10716.817873967335
7202.0,7171.379990941885
12121.0,12023.73056925718
4377.0,5393.000431035178
3943.0,3835.5229210657267
4483.0,3944.9984435178553
14231.0,14414.149405920234
17345.0,22332.232483322405
7414.0,7355.966946478308
8073.0,8363.950964998441
12395.0,12839.184780555051
8366.0,8364.414209081437
5117.0,4529.5065146848765
12524.0,11567.122820661069
7191.0,7376.925682848574
3687.0,3760.7143073762622
5894.0,5825.679984460803
5403.0,5259.899834183136
3625.0,3221.075930207079
10861.0,11681.125221296155
6297.0,5993.848979118462
5678.0,6228.187223580379
9134.0,10452.571652460903
10791.0,8159.689762012609
12819.0,13281.025406071914
6893.0,6109.044602729457
7240.0,9194.070247520876
3898.0,3928.7082776406214
4049.0,3747.3545123789863
10262.0,10271.100913006918
3332.0,3379.6806362493335
10844.0,10864.598906704312
7229.0,7851.007708831914
13941.0,13892.900604220918
5894.0,5851.227286481046
10197.0,10462.136558438311
13712.0,13583.610612950704
5636.0,5692.409476630307
13014.0,13186.371703763542
7064.0,7314.618254371491
10703.0,10250.066571197762
9646.0,8671.452032539279
17057.0,17190.415366074667
13817.0,13920.364430837033
13748.0,16172.664242962312
4880.0,6353.709250395708
3540.0,3578.5617395546533
3257.0,3411.380359366501
6478.0,6257.4355810905445
8040.0,8118.86362443388
14300.0,14388.384809367524
14781.0,14704.536599121016
14939.0,14962.539436613417
10262.0,10853.513356219892
6528.0,6391.37118062948
6121.0,5768.074469828632
13029.0,12735.05117372886
11421.0,10561.179704388707
7574.0,7433.319859035774
11596.0,13557.310454630991
15129.0,15132.42970491853
13555.0,15679.465877710049
5780.0,5109.812237469872
9397.0,9025.561651083397
17024.0,16533.638204617386
5281.0,5022.329133000469
10348.0,9195.360093209543
12677.0,13060.743054703715
15147.0,17195.531513826027
4668.0,4660.228920430833
15554.0,15986.789340946196
3971.0,4044.60647434734
3100.0,3090.768593286001
9663.0,8770.428046576253
27430.0,23191.222095962326
3540.0,3696.328867160993
10676.0,10714.552618486505
13044.0,12929.646007081783
14388.0,14215.456912946049
3943.0,3911.1667381126217
3597.0,3618.953131968974
5932.0,6223.231298847312
10262.0,10342.897609616703
6216.0,6257.920521361807
4804.0,4756.065753150897
14067.0,12906.101135693469
15129.0,15687.19750811864
